2026-01-16 18:58:40,467 INFO    MainThread:58404 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2026-01-16 18:58:40,468 INFO    MainThread:58404 [wandb_setup.py:_flush():80] Configure stats pid to 58404
2026-01-16 18:58:40,468 INFO    MainThread:58404 [wandb_setup.py:_flush():80] Loading settings from /Users/michellerohrer/.config/wandb/settings
2026-01-16 18:58:40,468 INFO    MainThread:58404 [wandb_setup.py:_flush():80] Loading settings from /Users/michellerohrer/Code/Deep_Learning/wandb/settings
2026-01-16 18:58:40,468 INFO    MainThread:58404 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-01-16 18:58:40,468 INFO    MainThread:58404 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /Users/michellerohrer/Code/Deep_Learning/wandb/run-20260116_185840-0utpwwae/logs/debug.log
2026-01-16 18:58:40,468 INFO    MainThread:58404 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /Users/michellerohrer/Code/Deep_Learning/wandb/run-20260116_185840-0utpwwae/logs/debug-internal.log
2026-01-16 18:58:40,468 INFO    MainThread:58404 [wandb_init.py:monkeypatch_ipython():633] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x122360ec0>
2026-01-16 18:58:40,468 INFO    MainThread:58404 [wandb_init.py:init():841] calling init triggers
2026-01-16 18:58:40,468 INFO    MainThread:58404 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'batch_size': 64, 'num_epochs': 60, 'optimizer': 'SGD', 'momentum': 0, 'architecture': 'BaselineCNN', 'dataset': 'FER-2013', '_wandb': {}}
2026-01-16 18:58:40,468 INFO    MainThread:58404 [wandb_init.py:init():889] starting backend
2026-01-16 18:58:40,734 INFO    MainThread:58404 [wandb_init.py:init():892] sending inform_init request
2026-01-16 18:58:40,750 INFO    MainThread:58404 [wandb_init.py:init():900] backend started and connected
2026-01-16 18:58:40,765 INFO    MainThread:58404 [wandb_run.py:_label_probe_notebook():1334] probe notebook
2026-01-16 18:58:40,767 INFO    MainThread:58404 [wandb_init.py:init():970] updated telemetry
2026-01-16 18:58:40,826 INFO    MainThread:58404 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-01-16 18:58:41,495 INFO    MainThread:58404 [wandb_init.py:init():1041] starting run threads in backend
2026-01-16 18:58:41,562 INFO    MainThread:58404 [wandb_run.py:_console_start():2521] atexit reg
2026-01-16 18:58:41,562 INFO    MainThread:58404 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-01-16 18:58:41,562 INFO    MainThread:58404 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-01-16 18:58:41,562 INFO    MainThread:58404 [wandb_run.py:_redirect():2461] Redirects installed.
2026-01-16 18:58:41,564 INFO    MainThread:58404 [wandb_init.py:init():1081] run started, returning control to user process
2026-01-16 18:58:49,802 INFO    wandb-AsyncioManager-main:58404 [service_client.py:_forward_responses():80] Reached EOF.
2026-01-16 18:58:49,802 INFO    wandb-AsyncioManager-main:58404 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
