2025-10-16 18:57:03,130 INFO    MainThread:21424 [wandb_init.py:setup_run_log_directory():705] Logging user logs to c:\Users\MichelleRohrer\Desktop\Uni\Deep_Learning\wandb\run-20251016_185703-4ui9pnvl\logs\debug.log
2025-10-16 18:57:03,131 INFO    MainThread:21424 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to c:\Users\MichelleRohrer\Desktop\Uni\Deep_Learning\wandb\run-20251016_185703-4ui9pnvl\logs\debug-internal.log
2025-10-16 18:57:03,131 INFO    MainThread:21424 [wandb_init.py:monkeypatch_ipython():624] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000188BA2A2890>
2025-10-16 18:57:03,131 INFO    MainThread:21424 [wandb_init.py:init():832] calling init triggers
2025-10-16 18:57:03,131 INFO    MainThread:21424 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.1, 'batch_size': 16, 'num_epochs': 50, 'optimizer': 'SGD', 'momentum': 0, 'architecture': 'BaselineCNN', 'dataset': 'FER-2013', '_wandb': {}}
2025-10-16 18:57:03,131 INFO    MainThread:21424 [wandb_init.py:init():880] starting backend
2025-10-16 18:57:03,131 INFO    MainThread:21424 [wandb_init.py:init():883] sending inform_init request
2025-10-16 18:57:03,133 INFO    MainThread:21424 [wandb_init.py:init():891] backend started and connected
2025-10-16 18:57:03,135 INFO    MainThread:21424 [wandb_run.py:_label_probe_notebook():1330] probe notebook
2025-10-16 18:57:03,135 INFO    MainThread:21424 [wandb_init.py:init():961] updated telemetry
2025-10-16 18:57:03,176 INFO    MainThread:21424 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-16 18:57:03,698 INFO    MainThread:21424 [wandb_init.py:init():1036] starting run threads in backend
2025-10-16 18:57:03,776 INFO    MainThread:21424 [wandb_run.py:_console_start():2509] atexit reg
2025-10-16 18:57:03,776 INFO    MainThread:21424 [wandb_run.py:_redirect():2357] redirect: wrap_raw
2025-10-16 18:57:03,776 INFO    MainThread:21424 [wandb_run.py:_redirect():2426] Wrapping output streams.
2025-10-16 18:57:03,776 INFO    MainThread:21424 [wandb_run.py:_redirect():2449] Redirects installed.
2025-10-16 18:57:03,777 INFO    MainThread:21424 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-16 19:03:12,790 INFO    MainThread:21424 [wandb_run.py:_finish():2275] finishing run michelle-rohrer-fhnw/emotion-recognition-baseline/4ui9pnvl
2025-10-16 19:03:12,791 INFO    MainThread:21424 [jupyter.py:save_history():480] not saving jupyter history
2025-10-16 19:03:12,791 INFO    MainThread:21424 [jupyter.py:save_ipynb():404] not saving jupyter notebook
2025-10-16 19:03:12,791 INFO    MainThread:21424 [wandb_init.py:_jupyter_teardown():609] cleaning up jupyter logic
2025-10-16 19:03:12,791 INFO    MainThread:21424 [wandb_run.py:_atexit_cleanup():2474] got exitcode: 0
2025-10-16 19:03:12,792 INFO    MainThread:21424 [wandb_run.py:_restore():2456] restore
2025-10-16 19:03:12,792 INFO    MainThread:21424 [wandb_run.py:_restore():2462] restore done
2025-10-16 19:03:13,667 INFO    MainThread:21424 [wandb_run.py:_footer_sync_info():3872] logging synced files
