2026-01-23 14:19:50,542 INFO    MainThread:8684 [wandb_init.py:setup_run_log_directory():705] Logging user logs to c:\Users\Michelle\Desktop\Uni\Code\Deep_Learning\wandb\run-20260123_141950-0cknbm3b\logs\debug.log
2026-01-23 14:19:50,543 INFO    MainThread:8684 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to c:\Users\Michelle\Desktop\Uni\Code\Deep_Learning\wandb\run-20260123_141950-0cknbm3b\logs\debug-internal.log
2026-01-23 14:19:50,543 INFO    MainThread:8684 [wandb_init.py:monkeypatch_ipython():624] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000024DC697AEA0>
2026-01-23 14:19:50,543 INFO    MainThread:8684 [wandb_init.py:init():832] calling init triggers
2026-01-23 14:19:50,543 INFO    MainThread:8684 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'batch_size': 32, 'num_epochs': 60, 'optimizer': 'SGD', 'momentum': 0, 'architecture': 'BaselineCNN', 'dataset': 'FER-2013', '_wandb': {}}
2026-01-23 14:19:50,543 INFO    MainThread:8684 [wandb_init.py:init():880] starting backend
2026-01-23 14:19:50,543 INFO    MainThread:8684 [wandb_init.py:init():883] sending inform_init request
2026-01-23 14:19:50,546 INFO    MainThread:8684 [wandb_init.py:init():891] backend started and connected
2026-01-23 14:19:50,548 INFO    MainThread:8684 [wandb_run.py:_label_probe_notebook():1330] probe notebook
2026-01-23 14:19:50,549 INFO    MainThread:8684 [wandb_run.py:_label_probe_notebook():1340] Unable to probe notebook: 'charmap' codec can't decode byte 0x81 in position 14698: character maps to <undefined>
2026-01-23 14:19:50,549 INFO    MainThread:8684 [wandb_init.py:init():961] updated telemetry
2026-01-23 14:19:50,594 INFO    MainThread:8684 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2026-01-23 14:19:51,215 INFO    MainThread:8684 [wandb_init.py:init():1036] starting run threads in backend
2026-01-23 14:19:51,312 INFO    MainThread:8684 [wandb_run.py:_console_start():2509] atexit reg
2026-01-23 14:19:51,312 INFO    MainThread:8684 [wandb_run.py:_redirect():2357] redirect: wrap_raw
2026-01-23 14:19:51,312 INFO    MainThread:8684 [wandb_run.py:_redirect():2426] Wrapping output streams.
2026-01-23 14:19:51,313 INFO    MainThread:8684 [wandb_run.py:_redirect():2449] Redirects installed.
2026-01-23 14:19:51,315 INFO    MainThread:8684 [wandb_init.py:init():1076] run started, returning control to user process
2026-01-23 15:17:50,612 INFO    MainThread:8684 [wandb_run.py:_finish():2275] finishing run michelle-rohrer-fhnw/emotion-recognition-baseline/0cknbm3b
2026-01-23 15:17:50,612 INFO    MainThread:8684 [jupyter.py:save_history():480] not saving jupyter history
2026-01-23 15:17:50,612 INFO    MainThread:8684 [jupyter.py:save_ipynb():404] not saving jupyter notebook
2026-01-23 15:17:50,612 INFO    MainThread:8684 [wandb_init.py:_jupyter_teardown():609] cleaning up jupyter logic
2026-01-23 15:17:50,612 INFO    MainThread:8684 [wandb_run.py:_atexit_cleanup():2474] got exitcode: 0
2026-01-23 15:17:50,612 INFO    MainThread:8684 [wandb_run.py:_restore():2456] restore
2026-01-23 15:17:50,613 INFO    MainThread:8684 [wandb_run.py:_restore():2462] restore done
2026-01-23 15:17:51,572 INFO    MainThread:8684 [wandb_run.py:_footer_sync_info():3872] logging synced files
